codigo;codigo_legacy;capitulo;partida;descripcion;unidad;precio;categoria;subcategoria;apartado;coste_materiales;coste_mano_obra;coste_complementarios;coste_otros;rendimiento;desperdicio_pct;notas_tecnicas
02.10.01.020;CT-02-01-020;Demoliciones y desmontajes;Demolición de rodapié cerámico.;Demolición de rodapié existente de baldosa cerámica o de porcelanato y de su capa de pega, ejecutada con medios manuales y martillo eléctrico, cuidando de no dañar el friso de la pared por encima de la línea del rodapié. Incluye retiro manual del escombro en sacos hasta el punto de acopio, repicado de los restos de mortero adheridos y limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente demolida.;m;1.00;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.11;0.45;0.01;0.20;0.120 h/m;;Coste directo 0.77 USD + margen 30%
02.10.01.030;CT-02-01-030;Demoliciones y desmontajes;Demolición de piso de granito o terrazo en baldosa.;Demolición de piso existente de baldosa de granito o terrazo prefabricado, junto con su capa de asiento de mortero, ejecutada con martillo eléctrico manual. Por la dureza y el espesor de este tipo de baldosa el rendimiento es menor que en un piso cerámico y el escombro resulta más pesado, lo que se refleja en el rendimiento de la partida. Incluye protección previa de los ambientes contiguos, control de polvo, retiro manual del escombro en sacos y limpieza de la superficie. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;5.90;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.79;2.31;0.04;1.40;0.620 h/m²;;Coste directo 4.54 USD + margen 30%
02.10.01.040;CT-02-01-040;Demoliciones y desmontajes;Demolición de rodapié de granito o terrazo.;Demolición de rodapié existente de granito o terrazo prefabricado y de su capa de asiento, ejecutada con martillo eléctrico manual, cuidando de no dañar el friso de la pared. Incluye repicado de los restos de mortero adheridos, retiro manual del escombro en sacos hasta el punto de acopio y limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente demolida.;m;1.17;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.14;0.52;0.01;0.23;0.140 h/m;;Coste directo 0.90 USD + margen 30%
02.10.01.050;CT-02-01-050;Demoliciones y desmontajes;Demolición de piso de granito vaciado en sitio.;Demolición de piso continuo de granito vaciado en sitio, incluida su base de mortero y las platinas divisorias de las juntas, ejecutada con martillo neumático por tratarse de una superficie monolítica de gran dureza. Incluye corte perimetral previo con amoladora de disco de diamante para delimitar la zona de intervención y evitar desprendimientos fuera de ella, protección de los ambientes contiguos, control de polvo, fragmentación del escombro en piezas manejables, retiro en sacos y limpieza. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;13.04;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;1.28;3.55;0.10;5.10;0.950 h/m²;;Coste directo 10.03 USD + margen 30%
02.10.01.060;CT-02-01-060;Demoliciones y desmontajes;Demolición de piso de cemento pulido.;Demolición de piso continuo de cemento pulido y de su base de mortero, ejecutada con martillo eléctrico manual, sin afectar a la losa estructural. Incluye corte perimetral con amoladora cuando la demolición sea parcial, protección de los ambientes contiguos, control de polvo mediante aspiración, fragmentación del escombro, retiro manual en sacos hasta el punto de acopio y limpieza de la superficie resultante. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;6.92;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.96;2.61;0.05;1.70;0.700 h/m²;;Coste directo 5.32 USD + margen 30%
02.10.01.070;CT-02-01-070;Demoliciones y desmontajes;Demolición de rodapié de cemento.;Demolición de rodapié corrido de mortero de cemento, ejecutada con medios manuales y cincel, cuidando de no dañar el friso de la pared por encima de la línea del rodapié. Incluye repicado de los restos adheridos al paramento, retiro manual del escombro en sacos hasta el punto de acopio y limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente demolida.;m;0.91;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.10;0.41;0.01;0.18;0.110 h/m;;Coste directo 0.70 USD + margen 30%
02.10.01.080;CT-02-01-080;Demoliciones y desmontajes;Demolición de piso de piedra natural.;Demolición de piso existente de piedra natural, ya sea mármol, granito natural o laja, junto con su capa de asiento de mortero, ejecutada con martillo eléctrico manual. Si el cliente desea recuperar las piezas, se levantan una a una con cuidado, se limpian de mortero y se acopian protegidas, lo que reduce el rendimiento y debe advertirse en el presupuesto. Incluye protección de los ambientes contiguos, control de polvo, retiro manual del escombro en sacos y limpieza de la superficie. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;6.34;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.86;2.53;0.05;1.44;0.680 h/m²;;Coste directo 4.88 USD + margen 30%
02.10.01.090;CT-02-01-090;Demoliciones y desmontajes;Demolición de rodapié de piedra natural.;Demolición de rodapié existente de piedra natural y de su capa de asiento, ejecutada con martillo eléctrico manual, cuidando de no dañar el friso de la pared. Incluye repicado de los restos de mortero adheridos, retiro manual del escombro en sacos hasta el punto de acopio y limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente demolida.;m;1.25;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.14;0.56;0.01;0.25;0.150 h/m;;Coste directo 0.96 USD + margen 30%
02.10.01.100;CT-02-01-100;Demoliciones y desmontajes;Levantado de piso de parquet o madera.;Levantado de piso existente de parquet o de tablilla de madera, incluidos los rastreles o el adhesivo de fijación al afirmado, ejecutado con medios manuales mediante palanca y espátula. Incluye el retiro previo de las molduras de remate, el rascado de los restos de adhesivo adheridos al afirmado, la extracción de los clavos o tornillos que queden en la base, el retiro del material en sacos hasta el punto de acopio y la limpieza de la superficie resultante. No incluye el bote del escombro. Medido en superficie realmente levantada.;m2;2.17;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.38;1.12;0.02;0.15;0.300 h/m²;;Coste directo 1.67 USD + margen 30%
02.10.01.110;CT-02-01-110;Demoliciones y desmontajes;Levantado de rodapié de madera.;Levantado de rodapié existente de madera, ejecutado con medios manuales mediante palanca y espátula, cuidando de no dañar el friso de la pared. Incluye la extracción de los clavos, tornillos o tacos de fijación que queden en el paramento, el retiro del material en sacos hasta el punto de acopio y la limpieza de la zona. No incluye el bote del escombro. Medido en longitud realmente levantada.;m;0.43;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.05;0.28;0.00;0.00;0.080 h/m;;Coste directo 0.33 USD + margen 30%
02.10.01.120;CT-02-01-120;Demoliciones y desmontajes;Levantado de piso laminado.;Levantado de piso laminado flotante existente, incluidas la manta acústica y las molduras de remate perimetrales, ejecutado con medios manuales. Por tratarse de un sistema flotante de encastre el desmontaje es rápido y no genera escombro pesado. Incluye el desmontaje ordenado de las tablas, el retiro de la manta y del perfil perimetral, la limpieza y aspirado del afirmado resultante y el retiro del material en sacos hasta el punto de acopio. No incluye el bote del escombro. Medido en superficie realmente levantada.;m2;1.26;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.20;0.63;0.01;0.13;0.180 h/m²;;Coste directo 0.97 USD + margen 30%
02.10.01.130;CT-02-01-130;Demoliciones y desmontajes;Levantado de piso vinílico, linóleo o alfombra.;Levantado de revestimiento de piso flexible existente, ya sea vinílico en lámina o baldosa, linóleo o alfombra, incluido el adhesivo de fijación al afirmado, ejecutado con medios manuales mediante espátula y rasqueta. Incluye la aplicación puntual de disolvente removedor en las zonas donde el adhesivo esté fuertemente adherido, el rascado hasta dejar el afirmado limpio y sin restos que comprometan la adherencia del nuevo acabado, la ventilación del ambiente durante los trabajos, el retiro del material en sacos y la limpieza final. No incluye el bote del escombro. Medido en superficie realmente levantada.;m2;2.12;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.64;0.82;0.02;0.15;0.220 h/m²;;Coste directo 1.63 USD + margen 30%
02.10.01.140;CT-02-01-140;Demoliciones y desmontajes;Demolición de piso continuo de concreto.;Demolición de piso continuo de concreto de hasta 10 cm de espesor, ejecutada con martillo neumático, sin afectar a la losa estructural ni a las instalaciones que discurran por debajo. Incluye la comprobación previa de que no existen tuberías ni canalizaciones enterradas en la zona, el corte perimetral con amoladora de disco de diamante para delimitar la demolición, la protección de los ambientes contiguos, el control de polvo, la fragmentación del escombro en piezas manejables, el retiro en sacos hasta el punto de acopio y la limpieza. Si el piso está armado con malla electrosoldada se incluye su corte y retiro. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;15.33;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;1.56;4.11;0.12;6.00;1.100 h/m²;;Coste directo 11.79 USD + margen 30%
02.10.01.150;CT-02-01-150;Demoliciones y desmontajes;Demolición de afirmado o base de mortero de nivelación.;Demolición de afirmado o base de mortero de nivelación de hasta 5 cm de espesor, una vez retirado el piso de acabado, ejecutada con martillo eléctrico manual hasta dejar la losa estructural a la vista y limpia. Se emplea cuando la base existente está disgregada, hueca o fuera de nivel y no admite recibir el nuevo piso. Incluye la comprobación previa del estado de la base mediante golpeo, la protección de los ambientes contiguos, el control de polvo mediante aspiración, el retiro manual del escombro en sacos y el barrido final de la losa. No incluye el bote del escombro. Medido en superficie realmente demolida.;m2;7.18;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;1.03;2.79;0.05;1.65;0.750 h/m²;;Coste directo 5.52 USD + margen 30%
02.10.01.160;CT-02-01-160;Demoliciones y desmontajes;Desmontaje de piso técnico registrable.;Desmontaje de piso técnico registrable existente, formado por paneles apoyados sobre pedestales regulables, ejecutado con medios manuales. Por tratarse de un sistema desmontable la operación es limpia y permite recuperar el material. Incluye la retirada ordenada de los paneles con ventosa, el desmontaje de los pedestales y travesaños, la clasificación de las piezas en aprovechables y desechables, el acopio protegido de las que el cliente desee conservar, el retiro del resto en sacos y la limpieza de la losa resultante. No incluye el bote del escombro. Medido en superficie realmente desmontada.;m2;1.09;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.01 Pisos y pavimentos;0.16;0.56;0.01;0.11;0.150 h/m²;;Coste directo 0.84 USD + margen 30%
02.10.02.010;CT-02-02-010;Demoliciones y desmontajes;Picado de enchapado cerámico en pared y su capa de pega.;Picado de enchapado cerámico o de porcelanato existente en pared, incluida su capa de pega de mortero, ejecutado con martillo eléctrico manual hasta dejar el friso o el bloque a la vista, sin comprometer la estabilidad del muro ni dañar las tuberías y canalizaciones empotradas. Incluye la localización previa de las instalaciones que discurren por el paramento, la protección de pisos, aparatos y puertas, el control de polvo mediante aspiración, el retiro manual del escombro en sacos hasta el punto de acopio y la limpieza de la superficie, dejándola lista para recibir el nuevo friso. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;6.25;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.68;2.62;0.05;1.46;0.700 h/m²;;Coste directo 4.81 USD + margen 30%
02.10.02.020;CT-02-02-020;Demoliciones y desmontajes;Picado de enchapado de granito o terrazo en pared.;Picado de enchapado de granito o terrazo prefabricado existente en pared, incluida su capa de asiento de mortero, ejecutado con martillo eléctrico manual. Por el mayor espesor y peso de estas piezas frente al enchapado cerámico, el rendimiento es menor y el escombro más pesado. Incluye la protección de pisos y ambientes contiguos, el control de polvo, el retiro manual del escombro en sacos hasta el punto de acopio y el repicado de los restos de mortero adheridos al paramento. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;7.31;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.92;2.92;0.06;1.72;0.780 h/m²;;Coste directo 5.62 USD + margen 30%
02.10.02.030;CT-02-02-030;Demoliciones y desmontajes;Picado de enchapado de piedra natural en pared.;Picado de enchapado de piedra natural existente en pared, ya sea mármol, laja o piedra de revestimiento, incluida su capa de asiento y los anclajes metálicos si los tuviera, ejecutado con martillo eléctrico manual. Si el cliente desea recuperar las piezas se desmontan una a una con cuidado, se limpian y se acopian protegidas, lo que reduce el rendimiento y debe advertirse en el presupuesto. Incluye la protección del entorno, el control de polvo, el retiro del escombro en sacos y el repicado de los restos adheridos. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;7.67;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.97;3.07;0.06;1.80;0.820 h/m²;;Coste directo 5.90 USD + margen 30%
02.10.02.040;CT-02-02-040;Demoliciones y desmontajes;Desmontaje de enchapado de madera o machihembrado en pared.;Desmontaje de revestimiento de madera existente en pared, ya sea machihembrado, tablilla o panel, junto con los rastreles de soporte fijados al paramento, ejecutado con medios manuales mediante palanca y barra. Incluye la extracción de los clavos, tornillos y tacos que queden en el muro, el retiro del material en sacos o atados hasta el punto de acopio, la clasificación de las piezas aprovechables si el cliente desea conservarlas y la limpieza del paramento resultante. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente desmontada.;m2;2.21;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.35;1.20;0.02;0.13;0.320 h/m²;;Coste directo 1.70 USD + margen 30%
02.10.02.050;CT-02-02-050;Demoliciones y desmontajes;Desmontaje de revestimiento de láminas o paneles en pared.;Desmontaje de revestimiento de pared formado por láminas o paneles de PVC, aluminio, melamina o material similar, junto con su estructura o rastrelado de soporte, ejecutado con medios manuales. Incluye el retiro de los perfiles de remate y esquineros, la extracción de las fijaciones que queden en el paramento, el resane puntual de los huecos de anclaje, el retiro del material hasta el punto de acopio y la limpieza de la zona. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente desmontada.;m2;1.56;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.26;0.82;0.01;0.11;0.220 h/m²;;Coste directo 1.20 USD + margen 30%
02.10.02.060;CT-02-02-060;Demoliciones y desmontajes;Picado de friso de mortero en paramento.;Picado de friso de mortero de cemento existente en paramento interior o exterior, ejecutado con martillo eléctrico manual hasta dejar el bloque o el ladrillo a la vista, cuando el friso está disgregado, hueco o presenta fisuración generalizada. Incluye el sondeo previo por golpeo para delimitar las zonas sin adherencia, la protección de pisos y ambientes contiguos, el control de polvo mediante aspiración, el retiro manual del escombro en sacos hasta el punto de acopio y el barrido y limpieza del paramento, dejándolo listo para recibir el nuevo friso. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;5.86;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.87;2.24;0.04;1.36;0.600 h/m²;;Coste directo 4.51 USD + margen 30%
02.10.02.070;CT-02-02-070;Demoliciones y desmontajes;Picado de friso de yeso o pasta en paramento.;Picado de revestimiento de yeso o pasta existente en paramento interior, ejecutado con medios manuales mediante espátula ancha y cincel, con martillo eléctrico solo en las zonas de mayor espesor. Por tratarse de un material blando el rendimiento es sensiblemente mayor que en un friso de mortero, aunque genera abundante polvo fino. Incluye la protección del entorno, el control de polvo mediante aspiración continua, el retiro del escombro en sacos hasta el punto de acopio y la limpieza del paramento resultante. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;3.65;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.57;1.42;0.03;0.79;0.380 h/m²;;Coste directo 2.81 USD + margen 30%
02.10.02.080;CT-02-02-080;Demoliciones y desmontajes;Picado de estuco o pasta decorativa en paramento.;Picado de revestimiento de estuco, pasta decorativa o revestimiento texturado existente en paramento, ejecutado con medios manuales y martillo eléctrico según el espesor y la dureza del material, hasta dejar el soporte limpio y apto para recibir el nuevo acabado. Incluye la cata previa para identificar el espesor y el tipo de soporte, la protección del entorno, el control de polvo, el retiro del escombro en sacos y la limpieza final. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente picada.;m2;4.30;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.65;1.68;0.03;0.95;0.450 h/m²;;Coste directo 3.31 USD + margen 30%
02.10.02.090;CT-02-02-090;Demoliciones y desmontajes;Repicado de superficie de concreto para mejorar adherencia.;Repicado superficial de paramento o losa de concreto, ejecutado con martillo eléctrico y puntero, para crear la rugosidad necesaria que garantice la adherencia del friso o del mortero de afirmado posterior. Incluye la limpieza previa de la superficie, el picado uniforme sin llegar a descubrir la armadura, la eliminación de lechadas superficiales y restos de desencofrante, el soplado y aspirado del polvo resultante y la retirada de los restos. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente repicada.;m2;4.37;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;0.27;1.87;0.03;1.19;0.500 h/m²;;Coste directo 3.36 USD + margen 30%
02.10.02.100;CT-02-02-100;Demoliciones y desmontajes;Eliminación de pintura en paramento mediante raspado y decapado.;Eliminación de las capas de pintura existentes en paramento interior o exterior, mediante raspado mecánico con espátula y lijado, con aplicación puntual de decapante químico en gel en las zonas de pintura muy adherida o de espesor elevado. Se emplea cuando la pintura existente está cuarteada, sopla o es incompatible con el nuevo acabado. Incluye la protección de pisos, carpintería y mobiliario, la ventilación del ambiente durante la aplicación del decapante, la neutralización y lavado de los restos químicos, el aspirado del polvo y la retirada de los residuos. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente tratada.;m2;5.15;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.02 Revestimientos y frisos de pared;1.44;1.93;0.04;0.55;0.520 h/m²;;Coste directo 3.96 USD + margen 30%
02.10.03.010;CT-02-03-010;Demoliciones y desmontajes;Demolición de cielo raso de yeso laminado y su estructura.;Demolición de cielo raso continuo de placa de yeso laminado, junto con la perfilería de acero galvanizado, las varillas de cuelgue y el ángulo perimetral, ejecutada con medios manuales. Incluye la desconexión y retiro previo de las luminarias, rejillas y difusores alojados en el plano del cielo, la protección del piso y del mobiliario, el descuelgue ordenado de las placas para evitar caídas incontroladas, el retiro del escombro en sacos y de la perfilería atada, y la limpieza de la zona dejando la losa a la vista. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente demolida.;m2;2.69;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.03 Cielos rasos;0.53;1.12;0.02;0.40;0.300 h/m²;;Coste directo 2.07 USD + margen 30%
02.10.03.020;CT-02-03-020;Demoliciones y desmontajes;Demolición de cielo raso de yeso vaciado o pasta.;Demolición de cielo raso de yeso vaciado, pasta o placa de yeso tradicional, junto con su estructura de soporte y elementos de cuelgue, ejecutada con medios manuales y martillo eléctrico donde el espesor lo requiera. Por tratarse de un material macizo genera más escombro y más polvo fino que un cielo de placa. Incluye la desconexión previa de las luminarias, la protección del piso y del mobiliario, el control de polvo mediante aspiración, el retiro del escombro en sacos y la limpieza de la losa resultante. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente demolida.;m2;4.91;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.03 Cielos rasos;0.82;1.80;0.04;1.12;0.480 h/m²;;Coste directo 3.78 USD + margen 30%
02.10.03.030;CT-02-03-030;Demoliciones y desmontajes;Desmontaje de cielo raso desmontable de fibra mineral.;Desmontaje de cielo raso registrable existente, formado por paneles apoyados sobre perfilería vista en retícula, ejecutado con medios manuales. Por ser un sistema desmontable la operación es limpia, rápida y permite recuperar buena parte del material. Incluye la retirada ordenada de los paneles, el desmontaje de la perfilería y de los tensores de cuelgue, la clasificación de las piezas en aprovechables y desechables, el acopio protegido de las que el cliente desee conservar y la limpieza de la zona. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente desmontada.;m2;1.65;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.03 Cielos rasos;0.29;0.67;0.01;0.30;0.180 h/m²;;Coste directo 1.27 USD + margen 30%
02.10.03.040;CT-02-03-040;Demoliciones y desmontajes;Desmontaje de cielo raso de machihembrado de madera.;Desmontaje de cielo raso de machihembrado o tablilla de madera, junto con los rastreles y la estructura de soporte fijada a la losa, ejecutado con medios manuales mediante palanca y barra. Incluye la desconexión previa de las luminarias, la protección del piso y del mobiliario, la extracción de los clavos y tornillos que queden en la estructura, el retiro del material en atados hasta el punto de acopio, la clasificación de las piezas aprovechables y la limpieza de la zona. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente desmontada.;m2;2.82;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.03 Cielos rasos;0.48;1.27;0.02;0.40;0.340 h/m²;;Coste directo 2.17 USD + margen 30%
02.10.03.050;CT-02-03-050;Demoliciones y desmontajes;Desmontaje de cielo raso de láminas de PVC o aluminio.;Desmontaje de cielo raso formado por láminas de PVC, aluminio o material similar, junto con sus perfiles de soporte y remates perimetrales, ejecutado con medios manuales. Incluye la desconexión previa de las luminarias y rejillas, la protección del piso, el desencastre ordenado de las láminas para poder recuperarlas si el cliente lo desea, el desmontaje de la perfilería, el retiro del material hasta el punto de acopio y la limpieza de la zona. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente desmontada.;m2;1.76;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.03 Cielos rasos;0.27;0.75;0.01;0.32;0.200 h/m²;;Coste directo 1.35 USD + margen 30%
02.10.03.060;CT-02-03-060;Demoliciones y desmontajes;Picado de friso en techo o cara inferior de losa.;Picado de friso de mortero o de pasta en el techo o en la cara inferior de la losa, ejecutado con medios manuales y martillo eléctrico trabajando por encima de la cabeza. La posición de trabajo reduce mucho el rendimiento frente al mismo picado en pared, y el material cae directamente sobre el operario y sobre el piso, lo que obliga a protección facial y a cubrir el ambiente completo. Incluye la protección integral del ambiente, el sondeo por golpeo, el picado por sectores, el control de polvo, el retiro del escombro y la limpieza. No incluye el bote del escombro. Medido en superficie realmente ejecutada.;m2;6.38;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.03 Cielos rasos;0.78;2.40;0.05;1.68;0.640 h/m²;;Coste directo 4.91 USD + margen 30%
02.10.04.010;CT-02-04-010;Demoliciones y desmontajes;Demolición de trasdosado de yeso laminado y su estructura.;Demolición de trasdosado autoportante de placa de yeso laminado adosado a muro, junto con la perfilería de acero galvanizado y el aislamiento alojado en la cámara, ejecutada con medios manuales. Incluye la localización y desconexión previa de los mecanismos e instalaciones que discurran por el trasdosado, la protección del piso y del mobiliario, el desmontaje ordenado de las placas, el retiro del aislamiento en sacos, el desmontaje de la perfilería y de las fijaciones al muro, y la limpieza de la zona dejando el paramento original a la vista. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente demolida.;m2;2.56;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.04 Trasdosados y forros;0.55;1.23;0.02;0.17;0.330 h/m²;;Coste directo 1.97 USD + margen 30%
02.10.04.020;CT-02-04-020;Demoliciones y desmontajes;Demolición de trasdosado de bloque o ladrillo adosado a muro.;Demolición de tabique de bloque o ladrillo adosado a muro a modo de trasdosado, incluidos sus revestimientos y la cámara intermedia, ejecutada con martillo eléctrico manual sin dañar el muro original que permanece. Incluye la comprobación previa de que el trasdosado no cumple función estructural ni aloja instalaciones en servicio, la protección del entorno, el control de polvo, la fragmentación del escombro en piezas manejables, el retiro en sacos hasta el punto de acopio y el repicado de los restos de mortero adheridos al muro. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente demolida.;m2;6.21;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.04 Trasdosados y forros;1.07;2.32;0.05;1.34;0.620 h/m²;;Coste directo 4.78 USD + margen 30%
02.10.04.030;CT-02-04-030;Demoliciones y desmontajes;Desmontaje de trasdosado directo de placa pegada al muro.;Desmontaje de trasdosado directo formado por placa de yeso laminado o panel aislante adherido al muro mediante pelladas de pasta, ejecutado con medios manuales mediante palanca y espátula. Incluye la protección del piso, el arranque de las placas, el rascado de los restos de pasta y adhesivo adheridos al muro hasta dejarlo apto para recibir el nuevo revestimiento, el retiro del material en sacos hasta el punto de acopio y la limpieza de la zona. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente desmontada.;m2;3.12;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.04 Trasdosados y forros;0.62;1.57;0.02;0.19;0.420 h/m²;;Coste directo 2.40 USD + margen 30%
02.10.05.010;CT-02-05-010;Demoliciones y desmontajes;Retiro de papel tapiz en paramento.;Retiro de papel tapiz existente en paramento interior, junto con los restos de pegamento mural, ejecutado con medios manuales mediante humectación previa con solución reblandecedora y raspado con espátula ancha. Incluye la protección de pisos, rodapiés y mecanismos, la aplicación de la solución en varias pasadas hasta que el papel se desprenda sin arrancar el friso, el rascado de los residuos de pegamento, el lavado final del paramento y su secado, dejándolo listo para recibir el nuevo acabado. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente tratada.;m2;2.20;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.05 Revestimientos decorativos;0.74;0.93;0.02;0.00;0.250 h/m²;;Coste directo 1.69 USD + margen 30%
02.10.05.020;CT-02-05-020;Demoliciones y desmontajes;Desmontaje de moldura decorativa de yeso o poliestireno.;Desmontaje de moldura decorativa corrida de yeso, poliestireno o poliuretano, situada en el encuentro de pared y cielo raso o como elemento decorativo en paramento, ejecutado con medios manuales mediante espátula y cincel. Incluye la protección del entorno, el corte previo de la línea de junta para evitar arrastrar el friso, el rascado de los restos de pasta o adhesivo, el resane puntual de los desconchados provocados, el retiro del material hasta el punto de acopio y la limpieza. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en longitud realmente desmontada.;m;0.94;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.05 Revestimientos decorativos;0.14;0.49;0.01;0.08;0.130 h/m;;Coste directo 0.72 USD + margen 30%
02.10.05.030;CT-02-05-030;Demoliciones y desmontajes;Retiro de láminas decorativas, vinilos o espejos adheridos.;Retiro de revestimiento decorativo adherido al paramento, ya sea lámina vinílica, calcomanía mural o espejo pegado, junto con los restos de adhesivo. Incluye la protección del piso y del mobiliario, el calentamiento o humectación previa para reblandecer el adhesivo, el desprendimiento controlado del material con espátula, y en el caso de espejos el encintado previo de la superficie para evitar la proyección de fragmentos al fracturarse. Incluye el rascado de los restos de adhesivo, el retiro del material en sacos y la limpieza del paramento. No incluye el bote del escombro, que se valora en el capítulo de gestión de residuos. Medido en superficie realmente tratada.;m2;1.60;02 Demoliciones y desmontajes;02.10 Revestimientos, pisos y cielos rasos;02.10.05 Revestimientos decorativos;0.66;0.56;0.01;0.00;0.150 h/m²;;Coste directo 1.23 USD + margen 30%
